A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;17;1;K;2;2;3;31074086;582;31749939;582;31074086;582;31750522;582
2019;12;17;1;K;2;3;3;;;;;;;;
2019;12;17;1;K;2;4;3;6217354;388;6691862;388;6217354;388;6757795;388
2019;12;17;1;K;2;5;3;;;;;;;;
2019;12;17;1;K;2;6;3;;;;;;;;
2019;12;17;1;K;2;7;3;;;;;;;;
2019;12;17;1;K;2;8;3;;;;;;;;
2019;12;17;1;K;2;9;3;;;;;;;;
2019;12;18;3;Q;1;1;1;9524213;757;10273630;781;9539774;757;10084180;757
2019;12;18;3;Q;1;2;1;1080246085;92562;1151779895;94072;1151692774;103062;1236836731;104954
2019;12;18;3;Q;1;3;1;451821977;118628;521077367;122191;477753650;128467;556407270;132401
2019;12;18;3;Q;1;4;1;88061336;26866;104366739;27923;101393002;32164;120794710;33456
2019;12;18;3;Q;1;5;1;;;;;;;;
2019;12;18;3;Q;1;6;1;;;;;;;;
2019;12;18;3;Q;1;7;1;;;;;;;;
2019;12;18;3;Q;1;8;1;;;;;;;;
2019;12;18;3;Q;1;9;1;46700751;17974;60891943;20544;53127912;20434;69538839;23183
2019;12;18;3;Q;2;1;1;13498490;568;13841869;568;13499912;568;13836861;568
2019;12;18;3;Q;2;2;1;1090816906;55234;1136793537;55893;1116974698;59585;1168062277;60471
2019;12;18;3;Q;2;3;1;70979638;20055;84829495;21386;78632527;22893;95136977;24427
2019;12;18;3;Q;2;4;1;26357138;7568;31881606;8190;29776686;8892;36572287;9664
2019;12;18;3;Q;2;5;1;;;;;;0;;0
2019;12;18;3;Q;2;6;1;;;;;;0;;0
2019;12;18;3;Q;2;7;1;;;;;;0;;0
2019;12;18;3;Q;2;8;1;465392;189;612191;216;465392;189;606534;216
2019;12;18;3;Q;2;9;1;50266077;17406;63314668;19343;54866907;18920;69077741;20923
2019;12;19;2;G;1;1;2;;;;;;;;
2019;12;19;2;G;1;2;2;2116276;380;2424955;380;2152890;387;2474536;387
2019;12;19;2;G;1;3;2;2780575;387;3105006;387;2780575;387;3111518;387
2019;12;19;2;G;1;4;2;5868382;2129;7393209;2166;5414244;1980;6882271;2013
2019;12;19;2;G;1;5;2;;;;;;;;
2019;12;19;2;G;1;6;2;;;;;;;;
2019;12;19;2;G;1;7;2;40260764;20240;48703584;20256;40531872;21408;49368656;21566
2019;12;19;2;G;1;8;2;;;;;;;;
2019;12;19;2;G;1;9;2;;;;;;;;
