A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;18;3;Q;2;4;1;25673656;7379;31258172;8119;25694867;7379;31256605;8092
2019;5;18;3;Q;2;5;1;;;;;;;;
2019;5;18;3;Q;2;6;1;;;;;;;;
2019;5;18;3;Q;2;7;1;;;;;;;;
2019;5;18;3;Q;2;8;1;468256;189;645128;233;468256;189;576687;204
2019;5;18;3;Q;2;9;1;51696749;17596;64554812;19749;51702804;17596;64565631;19657
2019;5;19;2;G;1;1;2;;;;;;;;
2019;5;19;2;G;1;2;2;2132549;387;2445442;387;2132549;387;2445442;387
2019;5;19;2;G;1;3;2;1649805;194;1855871;194;1649805;194;1855871;194
2019;5;19;2;G;1;4;2;6172697;2178;7744415;2215;6415110;2322;8033131;2363
2019;5;19;2;G;1;5;2;;;;;;;;
2019;5;19;2;G;1;6;2;;;;;;;;
2019;5;19;2;G;1;7;2;39837438;19644;48172457;19679;26900548;12882;31577498;12896
2019;5;19;2;G;1;8;2;;;;;;;;
2019;5;19;2;G;1;9;2;;;;;;;;
2019;5;19;2;G;2;1;2;8901098;387;9271202;387;8901098;387;9271812;387
2019;5;19;2;G;2;2;2;8072619;1161;9098395;1161;8072619;1161;9098395;1161
2019;5;19;2;G;2;3;2;7446280;953;8225316;961;7332458;935;8081430;935
2019;5;19;2;G;2;4;2;11231701;2516;12990297;2535;11231701;2516;12974287;2528
2019;5;19;2;G;2;5;2;;;;;;;;
2019;5;19;2;G;2;6;2;;;;;;;;
2019;5;19;2;G;2;7;2;16103257;7834;19858661;7880;10536895;4956;12592600;4977
2019;5;19;2;G;2;8;2;;;;;;;;
2019;5;19;2;G;2;9;2;;;;;;;;
2019;5;20;3;O;1;1;1;10293741;1324;11041542;1337;10279042;1323;10940533;1337
2019;5;20;3;O;1;2;1;1436073021;128024;1562947445;135300;1421475362;127542;1543770332;134202
2019;5;20;3;O;1;3;1;423783981;115223;497665974;125026;425073991;115637;498606584;125633
2019;5;20;3;O;1;4;1;164879449;51771;190632703;54664;165328328;51900;190596398;54485
2019;5;20;3;O;1;5;1;;;;;;;;
2019;5;20;3;O;1;6;1;;;;;;;;
2019;5;20;3;O;1;7;1;;;;;;;;
2019;5;20;3;O;1;8;1;1089475;378;1898866;557;1089475;378;1707803;498
2019;5;20;3;O;1;9;1;88411642;32164;113802185;37467;87027599;31735;111196700;36925
2019;5;20;3;O;2;1;1;11519932;407;12363827;407;13013131;520;13885937;520
