EMPRESA_GENERICA;TAMANO_EMPRESA;CATEGORIA;ID_DIVISION;TT;SEXO;GRUPO;RO (ENE);RO (FEB);RO (MAR);RO (ABR);RO (MAY);RO (JUN);HO (ENE);HO (FEB);HO (MAR);HO (ABR);HO (MAY);HO (JUN);RE (ENE);RE (FEB);RE (MAR);RE (ABR);RE (MAY);RE (JUN);HE (ENE);HE (FEB);HE (MAR);HE (ABR);HE (MAY);HE (JUN);C (ENE);C (FEB);C (MAR);C (ABR);C (MAY);C (JUN);NT (ENE);NT (FEB);NT (MAR);NT (ABR);NT (MAY);NT (JUN)
1463;1;K;5;11;2;2;1179079,68;1201139,772;1185993,05;1242178,214;1218481,881;1221392,012;155,5751155;168,8562772;165,5492545;175,7767381;172,6436195;170,3889454;0;0;0;0;0;0;0;0;0;0;0;0;1323076,626;1351413,006;1347242,274;1398403,949;1377109,636;1367026,522;0,771130395;0,838773412;0,824793855;0,878006362;0,864703235;0,851400108
1463;1;K;5;11;2;8;4310647;3897168;4278209;4340500;4375427;4362087;1552;1358;1552;1552;1534;1520;152025;102324;0;47227;29874;24251;47;26;0;12;9;6;4986030;4450448;4790862;4909440;4925973;4905215;8;8;8;8;8;8
1464;2;F;1;12;1;3;919037;582056;919037;919037;897814,935;788332,7984;194;123;194;194;194;148,6156317;0;0;0;0;0;0;0;0;0;0;0;0;975282;617678;975282;975282;975568,9457;842595,0229;1;1;1;1;1;0,909090909
1464;2;F;1;12;1;4;537326;537326;537326;180344;190789,6531;218296,9627;194;194;194;65;68,15684713;79,99302427;0;0;0;0;0;0;0;0;0;0;0;0;640210;640210;640210;215075;218879,4897;251030,4024;1;1;1;1;1,142857143;1,26984127
1464;2;F;1;12;1;9;166482,0639;183632,9493;189481,1637;187161,3031;164919,1437;164125,2034;66,14056492;72,73500632;73,0959868;73,42095414;70,94004208;69,93363436;0;0;0;0;0;0;0;0;0;0;0;0;214147,7741;236232,639;241231,9461;245847,1789;204512,7795;209260,7926;1,30741533;1,331590909;1,391214383;1,391214383;1,317992573;1,317992573
1464;2;F;1;12;2;3;365284,1864;610531,2992;541279,4036;77061;74631,71092;80983,08478;130,5760029;226,4546259;205,2883286;32;30,35021354;34,43220625;0;0;0;0;0;0;0;0;0;0;0;0;438285,5027;750697,7187;667682,195;90778;88706,47179;95303,50497;0,671717172;1,157565144;1,096640662;1;1;1,05
1464;2;F;1;12;2;4;;;;355474;338143,2014;330550,9754;;;;135;126,0248019;128,6112982;;;;0;0;0;;;;0;0;0;;;;425674;416545,8748;405313,7854;;;;1;0,9375;0,99609375
1464;2;F;1;12;2;7;432384;432384;432384;1192575;1151426,25;1249497,192;194;194;194;355;376,2590939;409,0474667;0;0;0;0;0;0;0;0;0;0;0;0;530190;530190;530190;1385709;1286551,53;1424545,241;1;1;1;2;2,297229219;2,445736967
1464;2;F;1;12;2;8;191534,3992;202408,0432;214563,8482;223779,5785;212059,2958;190173,6667;88,86779292;91,18402221;101,4994152;101,0095416;99,51763315;96,25417203;0;0;0;0;0;0;0;0;0;0;0;0;221309,2724;239413,1649;252546,3142;256763,7921;245097,1717;221203,6408;1;1,136363636;1,174242424;1,200929752;1,200929752;1,200929752
1464;2;F;1;12;2;9;194660,9034;199747,2314;199279,3045;219728,1464;191840,321;187319,9638;97,61220274;105,6004138;94,91771922;97,35926922;94,82731441;91,99542985;0;0;0;0;0;0;0;0;0;0;0;0;253176,0698;262948,5419;255915,0377;279887,0261;241693,6255;237142,8383;0,46374923;0,508572575;0,508572575;0,514302971;0,495254712;0,455291796
1465;1;F;1;11;1;2;7333183,707;6991081,438;7087432,83;6296419,101;6442577,932;7110270,193;558,7728377;524,7910413;524,7910413;483,1020333;514,743804;509,8939694;0;0;0;0;0;0;0;0;0;0;0;0;8077648,896;7715909,622;7807233,591;6996118,018;7126315,952;7865635,449;3,285714286;3,092436975;3,092436975;2,899159664;3,106242497;3,106242497
1465;1;F;1;11;1;4;2902980,608;2892005,626;2906130,723;3010130,174;2965532,635;3108501,882;500,5627635;488,4033442;485,9425093;497,5229087;491,298444;507,3919326;0;0;0;0;0;0;0;0;0;0;0;0;3169777,009;3140135,725;3127828,25;3253489,965;3224114,193;3372106,978;2,749923846;2,749923846;2,824246112;2,898568378;2,898568378;2,974846493
