A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;10;1;Q;2;9;1;94798;40;100049;40;94798;40;100049;40
2019;8;11;3;C;1;1;7;;;;;;;;
2019;8;11;3;C;1;2;7;11661837;773;13028953;773;10617523;773;11980038;773
2019;8;11;3;C;1;3;7;;;;;;;;
2019;8;11;3;C;1;4;7;6820474;1737;8413069;1737;6474778;1737;8008446;1737
2019;8;11;3;C;1;5;7;;;;;;;;
2019;8;11;3;C;1;6;7;;;;;;;;
2019;8;11;3;C;1;7;7;;;;;;;;
2019;8;11;3;C;1;8;7;;;;;;;;
2019;8;11;3;C;1;9;7;;;;;;;;
2019;8;11;3;C;2;1;7;30538281;966;32231997;966;30334857;966;32012787;966
2019;8;11;3;C;2;2;7;25965478;2695;29703490;2695;28281862;2895;32772022;2922
2019;8;11;3;C;2;3;7;4951967;1036;6134993;1069;6174742;1158;8493469;1266
2019;8;11;3;C;2;4;7;27505961;5518;32765563;5540;23794879;4701;28239402;4721
2019;8;11;3;C;2;5;7;;;;;;;;
2019;8;11;3;C;2;6;7;;;;;;;;
2019;8;11;3;C;2;7;7;;;;;;;;
2019;8;11;3;C;2;8;7;47842040;9961;57246237;10056;48321482;9074;60032488;9421
2019;8;11;3;C;2;9;7;37964655;10996;47035886;11002;43335065;12726;55214376;13101
2019;8;12;3;H;1;1;1;2168896;189;2295354;189;2170296;189;2306850;189
2019;8;12;3;H;1;2;1;5000694;701;5284250;701;5042687;710;5351025;710
2019;8;12;3;H;1;3;1;1190784;360;1320421;360;1203555;377;1341482;377
2019;8;12;3;H;1;4;1;8564918;2343;10131532;2343;7747278;2044;9200684;2044
2019;8;12;3;H;1;5;1;;;;;;;;
2019;8;12;3;H;1;6;1;;;;;;;;
2019;8;12;3;H;1;7;1;;;;;;;;
2019;8;12;3;H;1;8;1;;;;;;;;
2019;8;12;3;H;1;9;1;;;;;;;;
2019;8;12;3;H;2;1;1;40410844;1496;44807122;1496;35449932;1355;39662885;1355
2019;8;12;3;H;2;2;1;27471903;4225;29839667;4225;27576771;4351;30016459;4351
2019;8;12;3;H;2;3;1;11827160;2807;13677384;2818;11810337;2937;13706634;2952
2019;8;12;3;H;2;4;1;35698764;8523;41894331;8549;34363666;8149;40584128;8179
2019;8;12;3;H;2;5;1;0;0;0;0;;;;
2019;8;12;3;H;2;6;1;0;0;0;0;;;;
2019;8;12;3;H;2;7;1;0;0;0;0;;;;
2019;8;12;3;H;2;8;1;526948787;87748;657271811;87937;525135210;91768;655334850;91970
2019;8;12;3;H;2;9;1;42385496;12023;53811701;12050;41553790;11420;52438982;11455
2019;8;13;3;C;1;1;1;;;;;;;;
2019;8;13;3;C;1;2;1;4188910;391;4312689;391;2467090;196;2550910;196
2019;8;13;3;C;1;3;1;1397854;313;1477466;313;1901945;391;1995676;391
2019;8;13;3;C;1;4;1;;;;;;;;
2019;8;13;3;C;1;5;1;;;;;;;;
2019;8;13;3;C;1;6;1;;;;;;;;
2019;8;13;3;C;1;7;1;8869081;3431;9416347;3439;8593505;3513;9259148;3544
2019;8;13;3;C;1;8;1;;;;;;;;
2019;8;13;3;C;1;9;1;574645;196;600310;196;581521;195;609510;195
2019;8;13;3;C;2;1;1;4920073;196;5027077;196;4845462;196;4948757;196
2019;8;13;3;C;2;2;1;7834805;782;8125980;782;10977389;1173;11489154;1187
2019;8;13;3;C;2;3;1;2326160;580;2438174;580;2002139;528;2191502;551
2019;8;13;3;C;2;4;1;8412798;1362;9082539;1414;10311852;1760;11378298;1863
2019;8;13;3;C;2;5;1;848851;189;1035392;211;792651;196;989301;221
2019;8;13;3;C;2;6;1;;;;;;;;
2019;8;13;3;C;2;7;1;149128606;54126;160599314;54453;163487721;61302;174265398;61954
2019;8;13;3;C;2;8;1;9075997;1955;9879058;2032;8651039;1942;9493513;2045
2019;8;13;3;C;2;9;1;7170863;3381;7525107;3386;2774655;1274;2942259;1289
2019;8;14;3;C;1;1;7;3798270;194;3977075;194;3798270;194;3977075;194
2019;8;14;3;C;1;2;7;5625250;692;6284052;716;4618326;548;5193789;565
2019;8;14;3;C;1;3;7;7315889;1548;8259085;1586;7315889;1548;8224119;1582
2019;8;14;3;C;1;4;7;;;;;;;;
2019;8;14;3;C;1;5;7;;;;;;;;
2019;8;14;3;C;1;6;7;12439966;582;12974928;582;13227726;581;13762688;581
2019;8;14;3;C;1;7;7;527484;194;757092;228;527484;194;634231;202
2019;8;14;3;C;1;8;7;;;;;;;;
2019;8;14;3;C;1;9;7;;;;;;;;
2019;8;14;3;C;2;1;7;32089124;899;33382370;899;33629894;968;34970103;968
2019;8;14;3;C;2;2;7;38190074;3096;42107834;3254;37887755;3060;40988876;3123
