Tamaño;Categoría;Sexo;Grupo;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;IR_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;ICMO_Wi
2;C;2;3;1,982572369;2,91602745;0,537278383;2,451434647;0,37047779;2,076744416;2,962679178;0,554340655;2,51216386;0,383959087
2;C;2;4;0,686141562;1,009197777;0,185944803;1,207191741;0,128217367;0,709545076;1,012235499;0,18939725;1,199972679;0,131184308
2;C;2;7;3,236476472;4,760307558;0,877087198;7,219395253;0,604791366;3,480850276;4,965773618;0,929135433;7,276011369;0,643557331
2;C;2;8;1,547344453;2,275881057;0,419331338;3,999925301;0,289147959;1,715422062;2,447217474;0,457893702;4,039720612;0,31715597
2;C;2;9;0,774547287;1,139227593;0,209902811;2,399094578;0,144737499;0,841987426;1,201177475;0,224749785;2,408943108;0,155670925
1;C;1;1;0,616367785;0,798976452;0,32696881;0,714718935;0,101509;0,598660859;0,745798386;0,314467585;0,73170405;0,09665443
1;C;1;2;0,419240133;0,543446628;0,222397164;0,210669328;0,069044242;0,412675741;0,514102263;0,216772388;0,211795178;0,066626936
1;C;1;4;0,708412925;0,918291415;0,375796621;1,098450508;0,116667823;0,707012633;0,880780617;0,371383149;1,044137138;0,114147939
1;C;1;9;0,191526132;0,248268766;0,10160017;0,522828146;0,031542249;0,195169625;0,243137979;0,102519681;0,487609509;0,031510343
1;C;2;1;2,087959126;2,706549911;0,498682123;2,421125761;0,34386392;2,032906447;2,532549649;0,473860026;2,484688717;0,3282149
1;C;2;2;1,103296966;1,430166073;0,263508258;0,55440978;0,181700884;1,108358265;1,380768082;0,258352605;0,568836287;0,178945617
1;C;2;3;1,458725632;1,890896082;0,348397814;1,589631185;0,240236079;1,496211409;1,863946904;0,348759176;1,580508644;0,241564918
1;C;2;4;0,53715023;0,696289449;0,128291408;0,832894097;0,088462739;0,552255396;0,687987493;0,128727889;0,815587079;0,089162219
1;C;2;7;4,479889416;5,807127233;1,06996384;8,806982799;0,73778855;4,688303171;5,840583844;1,09281933;8,557811476;0,756931516
1;C;2;8;1,329474029;1,723351655;0,317527734;3,028839256;0,218949761;1,416674423;1,764861496;0,330219514;2,913328071;0,228723587
1;C;2;9;0,68433903;0,887085249;0,163445556;1,86810908;0,112703117;0,756282152;0,942159489;0,176285476;1,889486486;0,122102555
2;D;1;2;0,092343548;1,804378906;0,055582934;0,052651837;0,017255982;0,094084484;1,769886347;0,056594474;0,055295034;0,017394819
2;D;1;4;0,035627002;0,696146199;0,021444414;0,06268185;0,006657519;0,039174993;0,736947079;0,023564865;0,066252199;0,007242872
2;D;2;1;0,285749405;5,583499958;0,077438272;0,375966545;0,053397197;0,269752543;5,074496075;0,072004432;0,377555795;0,049873224
