Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;7;17;1;K;2;8;3;;;;;;;;
2019;7;17;1;K;2;9;3;;;;;;;;
2019;7;18;3;Q;1;1;1;11873251;946;12635382;946;9515481;757;10115954;757
2019;7;18;3;Q;1;2;1;1047008263;91143;1129577792;92683;1056484205;91427;1133010410;93279
2019;7;18;3;Q;1;3;1;448251901;116547;528689867;120238;447999531;117115;513482048;120752
2019;7;18;3;Q;1;4;1;89238321;27056;108506689;28161;87717807;26866;103709332;28027
2019;7;18;3;Q;1;5;1;;;;;;;;
2019;7;18;3;Q;1;6;1;;;;;;;;
2019;7;18;3;Q;1;7;1;;;;;;;;
2019;7;18;3;Q;1;8;1;;;;;;;;
2019;7;18;3;Q;1;9;1;46760344;17785;63571575;20687;46910344;17974;61182956;20661
2019;7;18;3;Q;2;1;1;13122918;568;13512577;568;13494124;568;13878824;568
2019;7;18;3;Q;2;2;1;1076310271;54503;1130021915;55259;1088006725;55332;1137430390;56023
2019;7;18;3;Q;2;3;1;69908528;19866;86301363;21484;69709660;19866;83119285;21303
2019;7;18;3;Q;2;4;1;26129607;7379;33104465;8140;26584950;7568;32478406;8301
2019;7;18;3;Q;2;5;1;;;;;;;;
2019;7;18;3;Q;2;6;1;;;;;;;;
2019;7;18;3;Q;2;7;1;;;;;;;;
2019;7;18;3;Q;2;8;1;468256;189;635567;219;468256;189;587147;207
2019;7;18;3;Q;2;9;1;51613671;17596;67122729;19778;50368405;17217;64174428;19559
2019;7;19;2;G;1;1;2;;;;;;;;
2019;7;19;2;G;1;2;2;2132549;387;2445442;387;2132549;387;2445442;387
2019;7;19;2;G;1;3;2;2491694;355;2797782;355;2610575;387;2935006;387
2019;7;19;2;G;1;4;2;6778425;2503;8393014;2503;6699636;2516;8404645;2545
2019;7;19;2;G;1;5;2;;;;;;;;
2019;7;19;2;G;1;6;2;;;;;;;;
2019;7;19;2;G;1;7;2;20077476;9350;23333497;9356;7306066;3503;8470056;3506
2019;7;19;2;G;1;8;2;;;;;;;;
2019;7;19;2;G;1;9;2;;;;;;;;
2019;7;19;2;G;2;1;2;16985773;580;17569845;580;16985773;581;17600404;581
2019;7;19;2;G;2;2;2;8072619;1161;9098395;1161;11221752;1355;12485784;1355
2019;7;19;2;G;2;3;2;1910786;549;2313228;552;1909571;581;2300372;582
2019;7;19;2;G;2;4;2;10948314;2419;12654260;2439;5898958;1661;7029562;1664
2019;7;19;2;G;2;5;2;;;;;;;;
2019;7;19;2;G;2;6;2;;;;;;;;
2019;7;19;2;G;2;7;2;8065055;3748;9540447;3757;4481187;2172;5195726;2180
2019;7;19;2;G;2;8;2;;;;;1896920;581;2317960;581
2019;7;19;2;G;2;9;2;;;;;;;;
2019;7;20;3;O;1;1;1;14149449;1703;15143538;1737;13851003;1695;14736995;1736
2019;7;20;3;O;1;2;1;1422458835;126351;1553048496;133553;1442660875;130516;1567528475;137284
2019;7;20;3;O;1;3;1;460302162;116226;544461228;125152;450995528;119537;524989927;128534
2019;7;20;3;O;1;4;1;181830310;52244;211675039;54886;177056681;53701;203755350;56109
2019;7;20;3;O;1;5;1;;;;;;;;
2019;7;20;3;O;1;6;1;;;;;;;;
2019;7;20;3;O;1;7;1;;;;;;;;
2019;7;20;3;O;1;8;1;1089475;378;1721598;495;1089475;378;1943069;590
2019;7;20;3;O;1;9;1;92659734;31596;119208085;36800;88934804;32105;114716982;37319
2019;7;20;3;O;2;1;1;9671815;331;10956149;331;9277993;331;10208211;331
2019;7;20;3;O;2;2;1;1420102017;83867;1501709944;88074;1423656679;84523;1505299124;88550
2019;7;20;3;O;2;3;1;95875666;21569;115995023;24153;96173689;22148;111971894;24142
2019;7;20;3;O;2;4;1;35575563;9195;42153260;9916;36317610;9564;42570917;10369
2019;7;20;3;O;2;5;1;;;;;;;;
2019;7;20;3;O;2;6;1;;;;;;;;
2019;7;20;3;O;2;7;1;;;;;;;;
2019;7;20;3;O;2;8;1;32837095;8987;46282002;11319;32794140;9185;45600999;11757
2019;7;20;3;O;2;9;1;69445456;20402;94491220;24083;69912055;20876;92571233;24473
2019;7;21;3;O;1;1;1;;;;;;;;
2019;7;21;3;O;1;2;1;336540465;29282;379850335;29418;336676644;29503;361539988;29503
2019;7;21;3;O;1;3;1;;;;;;;;
2019;7;21;3;O;1;4;1;77831492;13767;85618369;13789;76294285;13578;79989121;13578
2019;7;21;3;O;1;5;1;;;;;;;;
2019;7;21;3;O;1;6;1;;;;;;;;
2019;7;21;3;O;1;7;1;;;;;;;;
2019;7;21;3;O;1;8;1;;;;;;;;
2019;7;21;3;O;1;9;1;;;;;;;;
2019;7;21;3;O;2;1;1;13836469;378;14934926;378;17065956;568;18241117;568
2019;7;21;3;O;2;2;1;753733334;58614;834434599;58642;740182314;57933;823649137;57991
2019;7;21;3;O;2;3;1;;;;;;;;
2019;7;21;3;O;2;4;1;63779869;12298;75214083;12504;62687212;12298;77388198;12298
2019;7;21;3;O;2;5;1;;;;;;;;
2019;7;21;3;O;2;6;1;;;;;;;;
2019;7;21;3;O;2;7;1;;;;;;;;
2019;7;21;3;O;2;8;1;714027;189;1279156;189;678780;189;708222;189
2019;7;21;3;O;2;9;1;;;;;;;;
2019;7;22;1;K;1;1;3;4182194;194;4329100;194;4182194;194;4329246;194
2019;7;22;1;K;1;2;3;12269534;774;12996747;774;11746550;677;12445069;677
2019;7;22;1;K;1;3;3;;;;;;;;
2019;7;22;1;K;1;4;3;1406830;194;1518692;194;1406830;194;1518692;194
2019;7;22;1;K;1;5;3;;;;;;;;
2019;7;22;1;K;1;6;3;;;;;;;;
2019;7;22;1;K;1;7;3;;;;;;;;
2019;7;22;1;K;1;8;3;;;;;;;;
2019;7;22;1;K;1;9;3;;;;;;;;
2019;7;22;1;K;2;1;3;15408862;387;15774481;387;15414332;387;15761227;387
2019;7;22;1;K;2;2;3;61790450;2240;63868305;2240;62981145;2240;65147529;2240
2019;7;22;1;K;2;3;3;;;;;;;;
2019;7;22;1;K;2;4;3;1416233;194;1495404;194;1416233;194;1495404;194
2019;7;22;1;K;2;5;3;;;;;;;;
2019;7;22;1;K;2;6;3;;;;;;;;
2019;7;22;1;K;2;7;3;;;;;;;;
2019;7;22;1;K;2;8;3;;;;;;;;
2019;7;22;1;K;2;9;3;;;;;;;;
